Date,Time,amdno,wbgt,dt_popup,lat,long,kjName,guideline
2023/8/24,9:00,21111,30.6,8月24日 9時時点,42.73,141.88833333333332,厚真,厳重警戒
2023/8/24,9:00,21126,32.7,8月24日 9時時点,42.76166666666667,142.14333333333335,穂別,危険
2023/8/24,9:00,21161,31.3,8月24日 9時時点,42.67,141.07833333333335,大滝,危険
2023/8/24,9:00,21171,25.5,8月24日 9時時点,42.63,141.24666666666667,森野,警戒
2023/8/24,9:00,21187,26.8,8月24日 9時時点,42.623333333333335,141.54666666666665,苫小牧,警戒
2023/8/24,9:00,21226,31.7,8月24日 9時時点,42.59,140.64333333333335,大岸,危険
2023/8/24,9:00,21261,26.0,8月24日 9時時点,42.54333333333334,141.35166666666666,白老,警戒
2023/8/24,9:00,21276,31.2,8月24日 9時時点,42.59,141.93333333333334,鵡川,危険
2023/8/24,9:00,21297,29.4,8月24日 9時時点,42.475,140.84833333333333,伊達,厳重警戒
2023/8/24,9:00,21312,30.1,8月24日 9時時点,42.458333333333336,141.11833333333334,登別,厳重警戒
2023/8/24,9:00,21323,29.2,8月24日 9時時点,42.31166666666667,140.975,室蘭,厳重警戒
2023/8/24,9:00,22036,30.7,8月24日 9時時点,42.876666666666665,142.44166666666666,日高,厳重警戒
2023/8/24,9:00,22141,31.3,8月24日 9時時点,42.49666666666667,142.05333333333334,日高門別,危険
2023/8/24,9:00,22156,32.9,8月24日 9時時点,42.54333333333334,142.33333333333334,新和,危険
2023/8/24,9:00,22241,30.1,8月24日 9時時点,42.343333333333334,142.36166666666668,静内,厳重警戒
2023/8/24,9:00,22291,31.2,8月24日 9時時点,42.245,142.66166666666666,三石,危険
2023/8/24,9:00,22306,32.5,8月24日 9時時点,42.223333333333336,142.94833333333332,中杵臼,危険
2023/8/24,9:00,22327,29.5,8月24日 9時時点,42.16166666666667,142.77666666666667,浦河,厳重警戒
2023/8/24,9:00,22391,29.5,8月24日 9時時点,41.925,143.24333333333334,えりも岬,厳重警戒
2023/8/24,9:00,23031,26.2,8月24日 9時時点,42.52333333333333,140.38166666666666,長万部,警戒
2023/8/24,9:00,23086,25.9,8月24日 9時時点,42.251666666666665,140.27166666666668,八雲,警戒
2023/8/24,9:00,23166,29.7,8月24日 9時時点,42.06666666666667,140.58833333333334,森,厳重警戒
2023/8/24,9:00,23206,30.4,8月24日 9時時点,41.905,140.97,川汲,厳重警戒
2023/8/24,9:00,23226,32.2,8月24日 9時時点,41.88666666666667,140.65333333333334,北斗,危険
2023/8/24,9:00,23232,30.5,8月24日 9時時点,41.81666666666667,140.75333333333333,函館,厳重警戒
2023/8/24,9:00,23326,30.8,8月24日 9時時点,41.68,140.43666666666667,木古内,厳重警戒
2023/8/24,9:00,23376,31.2,8月24日 9時時点,41.42333333333333,140.08666666666667,松前,危険
2023/8/24,9:00,24141,30.0,8月24日 9時時点,42.12833333333333,139.985,熊石,厳重警戒
2023/8/24,9:00,24041,30.7,8月24日 9時時点,42.45,139.85166666666666,せたな,厳重警戒
2023/8/24,9:00,24051,30.4,8月24日 9時時点,42.428333333333335,140.00833333333333,今金,厳重警戒
2023/8/24,9:00,24101,32.2,8月24日 9時時点,42.248333333333335,139.55666666666667,奥尻,危険
2023/8/24,9:00,24201,31.4,8月24日 9時時点,41.93,140.31166666666667,鶉,危険
2023/8/24,9:00,24217,31.1,8月24日 9時時点,41.86666666666667,140.12333333333333,江差,危険
2023/8/24,9:00,31001,30.8,8月24日 9時時点,41.526666666666664,140.91166666666666,大間,厳重警戒
2023/8/24,9:00,31111,30.7,8月24日 9時時点,41.28333333333333,141.21,むつ,厳重警戒
2023/8/24,9:00,31121,30.4,8月24日 9時時点,41.235,141.39666666666668,小田野沢,厳重警戒
2023/8/24,9:00,31136,29.8,8月24日 9時時点,41.18,140.48166666666665,今別,厳重警戒
2023/8/24,9:00,31156,28.2,8月24日 9時時点,41.145,140.82166666666666,脇野沢,厳重警戒
2023/8/24,9:00,31186,31.0,8月24日 9時時点,41.056666666666665,140.34666666666666,市浦,危険
2023/8/24,9:00,31201,29.2,8月24日 9時時点,41.045,140.63333333333333,蟹田,厳重警戒
2023/8/24,9:00,31296,32.6,8月24日 9時時点,40.80833333333333,140.45833333333334,五所川原,危険
2023/8/24,9:00,31312,31.0,8月24日 9時時点,40.821666666666665,140.76833333333335,青森,危険
2023/8/24,9:00,31332,28.4,8月24日 9時時点,40.885,141.16,野辺地,厳重警戒
2023/8/24,9:00,31336,30.6,8月24日 9時時点,40.885,141.27166666666668,六ケ所,厳重警戒
2023/8/24,9:00,31366,32.1,8月24日 9時時点,40.776666666666664,140.205,鰺ケ沢,危険
2023/8/24,9:00,31436,29.3,8月24日 9時時点,40.645,139.93166666666667,深浦,厳重警戒
2023/8/24,9:00,31461,32.0,8月24日 9時時点,40.611666666666665,140.455,弘前,危険
2023/8/24,9:00,31466,31.8,8月24日 9時時点,40.666666666666664,140.585,黒石,危険
2023/8/24,9:00,31482,26.4,8月24日 9時時点,40.64833333333333,140.84833333333333,酸ケ湯,警戒
2023/8/24,9:00,31506,32.3,8月24日 9時時点,40.675,141.375,三沢,危険
2023/8/24,9:00,31586,31.8,8月24日 9時時点,40.60666666666667,141.23333333333332,十和田,危険
2023/8/24,9:00,31602,31.2,8月24日 9時時点,40.526666666666664,141.52166666666668,八戸,危険
2023/8/24,9:00,31646,31.1,8月24日 9時時点,40.48166666666667,140.62,碇ケ関,危険
2023/8/24,9:00,31662,29.2,8月24日 9時時点,40.42666666666667,140.89833333333334,休屋,厳重警戒
2023/8/24,9:00,31721,31.2,8月24日 9時時点,40.38333333333333,141.25666666666666,三戸,危険
2023/8/24,9:00,32056,28.6,8月24日 9時時点,40.413333333333334,139.94833333333332,八森,厳重警戒
2023/8/24,9:00,32111,30.9,8月24日 9時時点,40.19833333333333,140.03166666666667,能代,厳重警戒
2023/8/24,9:00,32126,31.8,8月24日 9時時点,40.22666666666667,140.37166666666667,鷹巣,危険
2023/8/24,9:00,32136,30.4,8月24日 9時時点,40.251666666666665,140.505,大館,厳重警戒
2023/8/24,9:00,32146,30.2,8月24日 9時時点,40.215,140.78666666666666,鹿角,厳重警戒
2023/8/24,9:00,32206,30.9,8月24日 9時時点,40.12,140.84,湯瀬,厳重警戒
2023/8/24,9:00,32266,29.1,8月24日 9時時点,40.013333333333335,140.80166666666668,八幡平,厳重警戒
2023/8/24,9:00,32286,30.5,8月24日 9時時点,39.91166666666667,139.9,男鹿,厳重警戒
