date,観測所番号,都道府県名,地名,最高気温
2024-07-10,83201,大分県,湯布院,24.7
2024-07-10,49142,山梨県,甲府,24.7
2024-07-10,41271,栃木県,鹿沼,24.7
2024-07-10,51247,愛知県,新城,24.7
2024-07-10,81151,山口県,徳佐,24.7
2024-07-10,49316,山梨県,南部,24.7
2024-07-10,73001,愛媛県,大三島,24.7
2024-07-10,48363,長野県,松本今井,24.6
2024-07-10,69076,鳥取県,米子,24.6
2024-07-10,74136,高知県,大栃,24.6
2024-07-10,34111,宮城県,築館,24.6
2024-07-10,56276,石川県,小松,24.6
2024-07-10,83126,大分県,武蔵,24.6
2024-07-10,43171,埼玉県,鳩山,24.6
2024-07-10,68132,島根県,松江,24.6
2024-07-10,63321,兵庫県,福崎,24.5
2024-07-10,69122,鳥取県,鳥取,24.5
2024-07-10,57001,福井県,三国,24.5
2024-07-10,57286,福井県,美浜,24.5
2024-07-10,35456,山形県,長井,24.5
2024-07-10,41141,栃木県,大田原,24.5
2024-07-10,61187,京都府,福知山,24.4
2024-07-10,86146,熊本県,益城,24.4
2024-07-10,71066,徳島県,池田,24.4
2024-07-10,71251,徳島県,木頭,24.4
2024-07-10,74361,高知県,窪川,24.4
2024-07-10,55056,富山県,魚津,24.4
2024-07-10,55041,富山県,氷見,24.4
2024-07-10,56176,石川県,羽咋,24.4
2024-07-10,34276,宮城県,鹿島台,24.4
2024-07-10,50241,静岡県,川根本町,24.4
2024-07-10,48621,長野県,伊那,24.3
2024-07-10,40091,茨城県,常陸大宮,24.3
2024-07-10,61111,京都府,舞鶴,24.3
2024-07-10,88506,鹿児島県,内之浦,24.3
2024-07-10,66421,岡山県,虫明,24.3
2024-07-10,42146,群馬県,沼田,24.3
2024-07-10,66336,岡山県,高梁,24.3
2024-07-10,55091,富山県,伏木,24.2
2024-07-10,56116,石川県,志賀,24.2
2024-07-10,36056,福島県,茂庭,24.2
2024-07-10,51116,愛知県,豊田,24.2
2024-07-10,67212,広島県,加計,24.2
2024-07-10,69006,鳥取県,境,24.2
2024-07-10,34171,宮城県,米山,24.2
