観測所番号,prec_no,国際地点番号,都道府県,name,地点,pref,capitol
43266,43,,埼玉県,所沢,所沢（トコロザワ）,埼玉県,
44046,44,,東京都,小河内,小河内（オゴウチ）,東京都,
44056,44,,東京都,青梅,青梅（オウメ）,東京都,
44071,44,,東京都,練馬,練馬（ネリマ）,東京都,
44112,44,,東京都,八王子,八王子（ハチオウジ）,東京都,
44116,44,,東京都,府中,府中（フチュウ）,東京都,
44132,44,47662.0,東京都,東京,東京（トウキョウ）,東京都,1.0
44136,44,,東京都,江戸川臨海,江戸川臨海（エドガワリンカイ）,東京都,
44166,44,,東京都,羽田,羽田（ハネダ）,東京都,
44172,44,47675.0,東京都,大島,大島（オオシマ）,東京都,
44173,44,,東京都,大島北ノ山,大島北ノ山（オオシマキタノヤマ）,東京都,
44207,44,,東京都,新島,新島（ニイジマ）,東京都,
44216,44,,東京都,神津島,神津島（コウヅシマ）,東京都,
44226,44,47677.0,東京都,三宅島,三宅島（ミヤケジマ）,東京都,
44228,44,,東京都,三宅坪田,三宅坪田（ミヤケツボタ）,東京都,
44262,44,,東京都,八重見ヶ原,八重見ヶ原（ヤエミガハラ）,東京都,
44263,44,47678.0,東京都,八丈島,八丈島（ハチジョウジマ）,東京都,
44301,44,47971.0,東京都,父島,父島（チチジマ）,東京都,
45061,45,,千葉県,我孫子,我孫子（アビコ）,千葉県,
