,観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),13日の最高気温(℃),13日の最高気温の品質情報,13日の最高気温起時（時）,13日の最高気温起時（分）,13日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（12日まで）,今年の最高気温（12日まで）の品質情報,今年の最高気温（12日まで）を観測した起日（年）,今年の最高気温（12日まで）を観測した起日（月）,今年の最高気温（12日まで）を観測した起日（日）,12日までの観測史上1位の値（℃）,12日までの観測史上1位の値の品質情報,12日までの観測史上1位の値を観測した起日（年）,12日までの観測史上1位の値を観測した起日（月）,12日までの観測史上1位の値を観測した起日（日）,12日までの11月の1位の値,12日までの11月の1位の値の品質情報,12日までの11月の1位の値の起日（年）,12日までの11月の1位の値の起日（月）,12日までの11月の1位の値の起日（日）,統計開始年,date
34,15041,北海道上川地方,朱鞠内（シュマリナイ）,,2024,11,13,6,0,0.1,4,0.0,34.0,4.0,,,,,,,0.0,34.3,5,2024,8,13,34.9,8,2021,7,28,18.3,8,2003,11,3,1978,2024-11-13
35,15076,北海道上川地方,幌加内（ホロカナイ）,,2024,11,13,6,0,1.3,4,0.0,44.0,4.0,,,,,,,0.0,34.9,5,2024,8,12,37.3,8,2021,7,28,18.9,8,2003,11,3,1977,2024-11-13
36,13061,北海道留萌地方,天塩（テシオ）,,2024,11,13,6,0,1.6,4,0.0,6.0,4.0,,,,,,,0.0,31.4,5,2024,8,12,33.8,4,2021,7,27,17.2,8,2023,11,6,1977,2024-11-13
37,13086,北海道留萌地方,遠別（エンベツ）,,2024,11,13,6,0,1.8,4,0.0,27.0,4.0,,,,,,,0.0,33.6,5,2024,8,12,34.2,8,1979,8,18,18.8,8,2023,11,3,1977,2024-11-13
38,13121,北海道留萌地方,初山別（ショサンベツ）,,2024,11,13,6,0,1.7,4,0.0,33.0,4.0,,,,,,,0.0,32.6,5,2024,8,13,33.8,8,2021,8,1,19.4,8,2005,11,7,1977,2024-11-13
39,13146,北海道留萌地方,焼尻（ヤギシリ）,,2024,11,13,6,0,4.4,4,1.0,50.0,4.0,,,,,,,0.0,28.9,5,2024,7,18,32.4,8,2023,8,24,17.8,8,2023,11,3,1977,2024-11-13
40,13181,北海道留萌地方,羽幌（ハボロ）,47404.0,2024,11,13,6,0,1.7,4,1.0,46.0,4.0,,,,,,,0.0,31.4,5,2024,8,3,34.4,8,2021,8,1,20.1,8,2005,11,7,1921,2024-11-13
41,13261,北海道留萌地方,達布（タップ）,,2024,11,13,6,0,1.2,4,0.0,17.0,4.0,,,,,,,0.0,35.4,5,2024,8,12,38.7,8,2021,8,7,20.9,8,2003,11,3,1977,2024-11-13
42,13277,北海道留萌地方,留萌（ルモイ）,47406.0,2024,11,13,6,0,4.1,4,1.0,17.0,4.0,,,,,,,0.0,33.4,5,2024,8,13,35.6,8,2021,8,1,21.2,8,2003,11,3,1943,2024-11-13
43,13311,北海道留萌地方,増毛（マシケ）,,2024,11,13,6,0,5.7,4,2.0,53.0,4.0,,,,,,,0.0,32.6,5,2024,8,23,34.2,8,2021,8,1,22.0,8,2003,11,3,1978,2024-11-13
