観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),10日の最高気温(℃),10日の最高気温の品質情報,10日の最高気温起時（時）,10日の最高気温起時（分）,10日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（9日まで）,今年の最高気温（9日まで）の品質情報,今年の最高気温（9日まで）を観測した起日（年）,今年の最高気温（9日まで）を観測した起日（月）,今年の最高気温（9日まで）を観測した起日（日）,9日までの観測史上1位の値（℃）,9日までの観測史上1位の値の品質情報,9日までの観測史上1位の値を観測した起日（年）,9日までの観測史上1位の値を観測した起日（月）,9日までの観測史上1位の値を観測した起日（日）,9日までの6月の1位の値,9日までの6月の1位の値の品質情報,9日までの6月の1位の値の起日（年）,9日までの6月の1位の値の起日（月）,9日までの6月の1位の値の起日（日）,統計開始年,date
15041,北海道上川地方,朱鞠内（シュマリナイ）,,2024,6,10,,,21.4,8,14,59,8,1.3,-2.9,6.0,3.0,,,0,26.6,4,2024,6,8,34.9,8,2021,7,28,34.3,8,2014,6,4,1978,2024-06-10
15076,北海道上川地方,幌加内（ホロカナイ）,,2024,6,10,,,23.4,8,15,13,8,2.2,-1.3,6.0,3.0,,,0,27.1,4,2024,6,8,37.3,8,2021,7,28,36.0,8,2014,6,4,1977,2024-06-10
13061,北海道留萌地方,天塩（テシオ）,,2024,6,10,,,19.3,8,11,59,8,1.6,-5.1,6.0,3.0,,,0,24.4,4,2024,6,9,33.8,4,2021,7,27,30.0,8,2010,6,28,1977,2024-06-10
13086,北海道留萌地方,遠別（エンベツ）,,2024,6,10,,,19.1,8,12,33,8,0.2,-6.8,6.0,2.0,,,0,25.9,4,2024,6,9,34.2,8,1979,8,18,32.6,8,2010,6,28,1977,2024-06-10
13121,北海道留萌地方,初山別（ショサンベツ）,,2024,6,10,,,19.0,8,12,36,8,0.7,-7.7,6.0,2.0,,,0,26.7,4,2024,6,9,33.8,8,2021,8,1,32.8,8,2010,6,28,1977,2024-06-10
13146,北海道留萌地方,焼尻（ヤギシリ）,,2024,6,10,,,17.8,8,12,48,8,0.9,-3.6,6.0,2.0,,,0,21.4,4,2024,6,9,32.4,8,2023,8,24,26.1,8,2010,6,30,1977,2024-06-10
13181,北海道留萌地方,羽幌（ハボロ）,47404.0,2024,6,10,,,20.3,8,13,23,8,1.6,-6.0,6.0,3.0,,,0,26.3,4,2024,6,9,34.4,8,2021,8,1,30.9,8,1948,6,30,1921,2024-06-10
13261,北海道留萌地方,達布（タップ）,,2024,6,10,,,23.2,8,13,2,8,1.9,-2.6,6.0,3.0,,,0,27.5,4,2024,6,8,38.7,8,2021,8,7,34.3,8,2014,6,4,1977,2024-06-10
13277,北海道留萌地方,留萌（ルモイ）,47406.0,2024,6,10,,,21.2,8,10,17,8,2.6,-3.4,7.0,1.0,,,0,24.6,4,2024,6,9,35.6,8,2021,8,1,32.0,8,2014,6,5,1943,2024-06-10
13311,北海道留萌地方,増毛（マシケ）,,2024,6,10,,,22.8,8,10,26,8,4.4,-2.1,7.0,2.0,,,0,24.9,4,2024,6,9,34.2,8,2021,8,1,30.5,8,2022,6,25,1978,2024-06-10
13321,北海道留萌地方,幌糠（ホロヌカ）,,2024,6,10,,,23.6,8,11,40,8,2.8,0.3,7.0,1.0,,,0,27.7,4,2024,6,8,35.9,8,2021,8,7,34.2,8,2014,6,4,1977,2024-06-10
14026,北海道石狩地方,浜益（ハママス）,,2024,6,10,,,24.1,8,13,36,8,4.4,0.6,7.0,2.0,,,0,26.3,4,2024,4,27,34.6,8,1989,8,7,31.5,8,2012,6,30,1977,2024-06-10
14071,北海道石狩地方,厚田（アツタ）,,2024,6,10,,,24.5,8,15,33,8,4.3,-0.1,7.0,2.0,,,0,27.8,4,2024,6,8,36.1,8,2021,7,28,31.3,8,2014,6,4,1977,2024-06-10
14101,北海道石狩地方,新篠津（シンシノツ）,,2024,6,10,,,21.7,8,14,27,8,1.4,-0.9,6.0,3.0,,,0,25.6,4,2024,4,15,35.5,8,2023,8,25,32.2,8,2014,6,3,1978,2024-06-10
