,temp,year,date
462,14.11,1980,4/7
463,14.26,1980,4/8
464,14.12,1980,4/9
465,14.2,1980,4/10
466,14.11,1980,4/11
467,14.05,1980,4/12
468,14.07,1980,4/13
469,14.1,1980,4/14
470,14.13,1980,4/15
471,14.25,1980,4/16
472,14.37,1980,4/17
473,14.45,1980,4/18
474,14.52,1980,4/19
475,14.59,1980,4/20
476,14.69,1980,4/21
477,14.81,1980,4/22
478,14.8,1980,4/23
479,14.76,1980,4/24
480,14.77,1980,4/25
481,14.81,1980,4/26
482,14.88,1980,4/27
483,14.94,1980,4/28
484,14.94,1980,4/29
485,14.95,1980,4/30
486,15.05,1980,5/1
487,15.05,1980,5/2
488,15.02,1980,5/3
489,15.03,1980,5/4
490,15.15,1980,5/5
491,15.18,1980,5/6
492,15.15,1980,5/7
493,15.21,1980,5/8
494,15.26,1980,5/9
495,15.28,1980,5/10
496,15.4,1980,5/11
497,15.49,1980,5/12
498,15.55,1980,5/13
499,15.64,1980,5/14
500,15.63,1980,5/15
501,15.61,1980,5/16
502,15.65,1980,5/17
503,15.66,1980,5/18
504,15.68,1980,5/19
505,15.65,1980,5/20
506,15.62,1980,5/21
507,15.58,1980,5/22
508,15.57,1980,5/23
509,15.62,1980,5/24
510,15.66,1980,5/25
511,15.7,1980,5/26
512,15.7,1980,5/27
513,15.71,1980,5/28
514,15.75,1980,5/29
515,15.84,1980,5/30
516,15.9,1980,5/31
517,15.88,1980,6/1
518,15.78,1980,6/2
519,15.77,1980,6/3
520,15.8,1980,6/4
521,15.79,1980,6/5
522,15.83,1980,6/6
523,15.84,1980,6/7
524,15.94,1980,6/8
525,15.99,1980,6/9
526,16.03,1980,6/10
527,16.02,1980,6/11
528,15.93,1980,6/12
529,15.9,1980,6/13
530,15.91,1980,6/14
531,15.96,1980,6/15
532,16.1,1980,6/16
533,16.19,1980,6/17
534,16.22,1980,6/18
535,16.17,1980,6/19
536,16.14,1980,6/20
537,16.12,1980,6/21
538,16.15,1980,6/22
539,16.23,1980,6/23
540,16.28,1980,6/24
541,16.36,1980,6/25
542,16.42,1980,6/26
543,16.41,1980,6/27
544,16.29,1980,6/28
545,16.24,1980,6/29
546,16.28,1980,6/30
547,16.32,1980,7/1
548,16.32,1980,7/2
549,16.32,1980,7/3
550,16.31,1980,7/4
551,16.34,1980,7/5
552,16.36,1980,7/6
553,16.31,1980,7/7
554,16.29,1980,7/8
555,16.27,1980,7/9
556,16.25,1980,7/10
557,16.27,1980,7/11
558,16.27,1980,7/12
559,16.31,1980,7/13
560,16.39,1980,7/14
561,16.4,1980,7/15
562,16.45,1980,7/16
563,16.49,1980,7/17
564,16.45,1980,7/18
565,16.48,1980,7/19
566,16.56,1980,7/20
567,16.58,1980,7/21
568,16.6,1980,7/22
569,16.62,1980,7/23
570,16.52,1980,7/24
571,16.47,1980,7/25
572,16.47,1980,7/26
573,16.5,1980,7/27
574,16.53,1980,7/28
575,16.5,1980,7/29
576,16.5,1980,7/30
577,16.48,1980,7/31
578,16.52,1980,8/1
579,16.55,1980,8/2
580,16.43,1980,8/3
581,16.34,1980,8/4
582,16.25,1980,8/5
583,16.23,1980,8/6
584,16.22,1980,8/7
585,16.29,1980,8/8
586,16.36,1980,8/9
587,16.34,1980,8/10
588,16.3,1980,8/11
589,16.27,1980,8/12
590,16.21,1980,8/13
591,16.18,1980,8/14
592,16.21,1980,8/15
593,16.3,1980,8/16
594,16.29,1980,8/17
595,16.27,1980,8/18
596,16.27,1980,8/19
597,16.28,1980,8/20
598,16.33,1980,8/21
599,16.35,1980,8/22
600,16.3,1980,8/23
601,16.23,1980,8/24
602,16.13,1980,8/25
603,16.0,1980,8/26
604,15.95,1980,8/27
605,15.96,1980,8/28
606,16.01,1980,8/29
607,16.05,1980,8/30
608,16.01,1980,8/31
609,16.02,1980,9/1
610,16.01,1980,9/2
611,16.0,1980,9/3
612,15.98,1980,9/4
613,15.98,1980,9/5
614,15.97,1980,9/6
615,16.01,1980,9/7
616,15.89,1980,9/8
617,15.78,1980,9/9
618,15.76,1980,9/10
619,15.78,1980,9/11
620,15.79,1980,9/12
621,15.74,1980,9/13
622,15.66,1980,9/14
623,15.52,1980,9/15
624,15.45,1980,9/16
625,15.4,1980,9/17
626,15.39,1980,9/18
627,15.45,1980,9/19
628,15.41,1980,9/20
629,15.36,1980,9/21
630,15.27,1980,9/22
631,15.2,1980,9/23
632,15.16,1980,9/24
633,15.15,1980,9/25
634,15.06,1980,9/26
635,15.01,1980,9/27
636,14.99,1980,9/28
637,14.95,1980,9/29
638,14.98,1980,9/30
639,14.93,1980,10/1
640,14.83,1980,10/2
641,14.76,1980,10/3
642,14.73,1980,10/4
643,14.67,1980,10/5
644,14.66,1980,10/6
645,14.64,1980,10/7
646,14.63,1980,10/8
647,14.62,1980,10/9
648,14.56,1980,10/10
649,14.49,1980,10/11
650,14.48,1980,10/12
651,14.4,1980,10/13
652,14.37,1980,10/14
653,14.39,1980,10/15
654,14.39,1980,10/16
655,14.36,1980,10/17
656,14.38,1980,10/18
657,14.38,1980,10/19
658,14.32,1980,10/20
659,14.25,1980,10/21
660,14.11,1980,10/22
661,14.0,1980,10/23
662,14.02,1980,10/24
663,14.08,1980,10/25
664,14.18,1980,10/26
665,14.23,1980,10/27
666,14.24,1980,10/28
667,14.19,1980,10/29
668,14.12,1980,10/30
669,14.01,1980,10/31
670,13.96,1980,11/1
671,13.86,1980,11/2
672,13.8,1980,11/3
673,13.83,1980,11/4
674,13.78,1980,11/5
675,13.67,1980,11/6
676,13.63,1980,11/7
677,13.53,1980,11/8
678,13.47,1980,11/9
679,13.47,1980,11/10
680,13.46,1980,11/11
681,13.41,1980,11/12
682,13.34,1980,11/13
683,13.34,1980,11/14
684,13.32,1980,11/15
685,13.33,1980,11/16
686,13.32,1980,11/17
687,13.21,1980,11/18
688,13.12,1980,11/19
689,13.15,1980,11/20
690,13.15,1980,11/21
691,13.17,1980,11/22
692,13.14,1980,11/23
693,13.15,1980,11/24
694,13.06,1980,11/25
695,12.98,1980,11/26
696,12.95,1980,11/27
697,12.95,1980,11/28
698,12.92,1980,11/29
699,13.01,1980,11/30
700,12.73,1980,12/1
701,12.69,1980,12/2
702,12.69,1980,12/3
703,12.73,1980,12/4
704,12.74,1980,12/5
705,12.73,1980,12/6
706,12.9,1980,12/7
707,12.67,1980,12/8
708,12.59,1980,12/9
709,12.53,1980,12/10
710,12.46,1980,12/11
711,12.43,1980,12/12
712,12.44,1980,12/13
713,12.56,1980,12/14
714,12.86,1980,12/15
715,12.68,1980,12/16
716,12.64,1980,12/17
717,12.63,1980,12/18
718,12.62,1980,12/19
719,12.57,1980,12/20
720,12.6,1980,12/21
721,12.63,1980,12/22
722,12.64,1980,12/23
